district_code,district_name,district_name_hi,created_year,predecessor_district_code,aliases
CG-BAL,Balod,बालोद,2012,CG-DUR,Baloda
CG-BBZ,Baloda Bazar,बलौदाबाजार,2012,CG-RAI,Baloda Bazar-Bhatapara;Balodabazar
CG-BRP,Balrampur,बलरामपुर,2012,CG-SUR,Balrampur-Ramanujganj
CG-BST,Bastar,बस्तर,2000,,Jagdalpur
CG-BEM,Bemetara,बेमेतरा,2012,CG-DUR,
CG-BIJ,Bijapur,बीजापुर,2007,CG-DAN,
CG-BIL,Bilaspur,बिलासपुर,2000,,
CG-DAN,Dantewada,दंतेवाड़ा,2000,,Dakshin Bastar Dantewada;South Bastar
CG-DHA,Dhamtari,धमतरी,2000,,
CG-DUR,Durg,दुर्ग,2000,,
CG-GAR,Gariaband,गरियाबंद,2012,CG-RAI,Gariyaband
CG-GPM,Gaurela-Pendra-Marwahi,गौरेला-पेंड्रा-मरवाही,2020,CG-BIL,GPM;Gaurella-Pendra-Marwahi
CG-JAN,Janjgir-Champa,जांजगीर-चांपा,2000,,Janjgir Champa
CG-JAS,Jashpur,जशपुर,2000,,Jashpurnagar
CG-KAB,Kabirdham,कबीरधाम,2000,,Kawardha
CG-KAN,Kanker,कांकेर,2000,,Uttar Bastar Kanker;North Bastar
CG-KCG,Khairagarh-Chhuikhadan-Gandai,खैरागढ़-छुईखदान-गंडई,2022,CG-RJN,KCG;Khairagarh
CG-KON,Kondagaon,कोंडागांव,2012,CG-BST,
CG-KOR,Korba,कोरबा,2000,,
CG-KOY,Koriya,कोरिया,2000,,Korea
CG-MCB,Manendragarh-Chirmiri-Bharatpur,मनेंद्रगढ़-चिरमिरी-भरतपुर,2022,CG-KOY,MCB;Manendragarh
CG-MAH,Mahasamund,महासमुंद,2000,,
CG-MMC,Mohla-Manpur-Ambagarh Chowki,मोहला-मानपुर-अंबागढ़ चौकी,2022,CG-RJN,MMC;Mohla Manpur
CG-MUN,Mungeli,मुंगेली,2012,CG-BIL,
CG-NAR,Narayanpur,नारायणपुर,2007,CG-BST,Abujhmad
CG-RAI,Raipur,रायपुर,2000,,
CG-RGH,Raigarh,रायगढ़,2000,,
CG-RJN,Rajnandgaon,राजनांदगांव,2000,,
CG-SKT,Sakti,सक्ती,2022,CG-JAN,
CG-SBL,Sarangarh-Bilaigarh,सारंगढ़-बिलाईगढ़,2022,CG-RGH,Sarangarh;Bilaigarh
CG-SUK,Sukma,सुकमा,2012,CG-DAN,
CG-SRJ,Surajpur,सूरजपुर,2012,CG-SUR,
CG-SUR,Surguja,सरगुजा,2000,,Sarguja;Ambikapur
